source_id,source_archive,accent_or_region,speaker_id,source_filename_or_audio,preserved_audio_or_file_path,source_gender_or_sex_label,source_label_type,gender_identity_folder_used,classification_basis,age,birth_place,native_language,other_languages,english_learning_method,english_residence,country,file_missing,subset,minutes,reader_name
GMU_Accent_Classification,Accent-Classification--GMU-Speech-Accent-Archive--main (1).zip,mandarin,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=258,mandarin3.mp3,01_ACCENT_REGION_ATLAS/Mandarin/GMU_Accent_Classification/Ch24__data__mandarin__mandarin3.mp3,male,age_sex,Cis-Male,Placed here only because source uses male/M speaker sex or gender label; cis identity is not independently verified.,43,"jilin city, jilin, china",mandarin,italian german french,academic,,,,,,
GMU_Accent_Classification,Accent-Classification--GMU-Speech-Accent-Archive--main (1).zip,mandarin,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=262,mandarin7.mp3,01_ACCENT_REGION_ATLAS/Mandarin/GMU_Accent_Classification/Ch24__data__mandarin__mandarin7.mp3,male,age_sex,Cis-Male,Placed here only because source uses male/M speaker sex or gender label; cis identity is not independently verified.,22,"berkeley, california, usa",mandarin,mandarin,naturalistic,,,,,,
GMU_Accent_Classification,Accent-Classification--GMU-Speech-Accent-Archive--main (1).zip,mandarin,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=430,mandarin8.mp3,01_ACCENT_REGION_ATLAS/Mandarin/GMU_Accent_Classification/Ch24__data__mandarin__mandarin8.mp3,male,age_sex,Cis-Male,Placed here only because source uses male/M speaker sex or gender label; cis identity is not independently verified.,29,"jingmen, hubei, china",mandarin,none,academic,,,,,,
GMU_Accent_Classification,Accent-Classification--GMU-Speech-Accent-Archive--main (1).zip,mandarin,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=451,mandarin9.mp3,01_ACCENT_REGION_ATLAS/Mandarin/GMU_Accent_Classification/Ch24__data__mandarin__mandarin9.mp3,male,age_sex,Cis-Male,Placed here only because source uses male/M speaker sex or gender label; cis identity is not independently verified.,38,"shanghai, china",mandarin,none,academic,,,,,,
GMU_Accent_Classification,Accent-Classification--GMU-Speech-Accent-Archive--main (1).zip,mandarin,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=491,mandarin10.mp3,01_ACCENT_REGION_ATLAS/Mandarin/GMU_Accent_Classification/Ch24__data__mandarin__mandarin10.mp3,male,age_sex,Cis-Male,Placed here only because source uses male/M speaker sex or gender label; cis identity is not independently verified.,19,"beijing, china",mandarin,none,academic,,,,,,
GMU_Accent_Classification,Accent-Classification--GMU-Speech-Accent-Archive--main (1).zip,mandarin,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=623,mandarin12.mp3,01_ACCENT_REGION_ATLAS/Mandarin/GMU_Accent_Classification/Ch24__data__mandarin__mandarin12.mp3,male,age_sex,Cis-Male,Placed here only because source uses male/M speaker sex or gender label; cis identity is not independently verified.,23,"singapore, singapore",mandarin,cantonese spanish french,naturalistic,,,,,,
GMU_Accent_Classification,Accent-Classification--GMU-Speech-Accent-Archive--main (1).zip,mandarin,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=685,mandarin13.mp3,01_ACCENT_REGION_ATLAS/Mandarin/GMU_Accent_Classification/Ch24__data__mandarin__mandarin13.mp3,male,age_sex,Cis-Male,Placed here only because source uses male/M speaker sex or gender label; cis identity is not independently verified.,29,"nantou, taiwan",mandarin,taiwanese,academic,,,,,,
GMU_Accent_Classification,Accent-Classification--GMU-Speech-Accent-Archive--main (1).zip,mandarin,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=719,mandarin14.mp3,01_ACCENT_REGION_ATLAS/Mandarin/GMU_Accent_Classification/Ch24__data__mandarin__mandarin14.mp3,male,age_sex,Cis-Male,Placed here only because source uses male/M speaker sex or gender label; cis identity is not independently verified.,49,"dalian, liaoning, china",mandarin,none,academic,,,,,,
GMU_Accent_Classification,Accent-Classification--GMU-Speech-Accent-Archive--main (1).zip,mandarin,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=750,mandarin16.mp3,01_ACCENT_REGION_ATLAS/Mandarin/GMU_Accent_Classification/Ch24__data__mandarin__mandarin16.mp3,male,age_sex,Cis-Male,Placed here only because source uses male/M speaker sex or gender label; cis identity is not independently verified.,32,"taipei, taiwan",mandarin,taiwanese japanese,academic,,,,,,
GMU_Accent_Classification,Accent-Classification--GMU-Speech-Accent-Archive--main (1).zip,mandarin,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=796,mandarin17.mp3,01_ACCENT_REGION_ATLAS/Mandarin/GMU_Accent_Classification/Ch24__data__mandarin__mandarin17.mp3,male,age_sex,Cis-Male,Placed here only because source uses male/M speaker sex or gender label; cis identity is not independently verified.,26,"wuhan, hubei, china",mandarin,none,academic,,,,,,
GMU_Accent_Classification,Accent-Classification--GMU-Speech-Accent-Archive--main (1).zip,mandarin,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=916,mandarin19.mp3,01_ACCENT_REGION_ATLAS/Mandarin/GMU_Accent_Classification/Ch24__data__mandarin__mandarin19.mp3,male,age_sex,Cis-Male,Placed here only because source uses male/M speaker sex or gender label; cis identity is not independently verified.,27,"qinzhou, guangxi, china",mandarin,none,academic,,,,,,
GMU_Accent_Classification,Accent-Classification--GMU-Speech-Accent-Archive--main (1).zip,mandarin,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1154,mandarin27.mp3,01_ACCENT_REGION_ATLAS/Mandarin/GMU_Accent_Classification/Ch24__data__mandarin__mandarin27.mp3,male,age_sex,Cis-Male,Placed here only because source uses male/M speaker sex or gender label; cis identity is not independently verified.,18,"chengdu, sichuan, china",mandarin,none,academic,,,,,,
