audio_path,duration,text,subject_id,utt_id,accent,source_split_file
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000014.wav,5.376,AS THEY BEGAN TO DECORATE THE HALLWAY A SILHOUETTE APPEARED IN THE DOORWAY,sample-00,sample-000014,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000053.wav,3.72,DON'T YOU KNOW THAT GIRL'S VERY SICK,sample-00,sample-000053,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000054.wav,1.656,THAT MAN IS TERRIFIC,sample-00,sample-000054,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000056.wav,5.16,I'M EVERYTHING THE DISTRICT ATTORNEY SAID I WAS,sample-00,sample-000056,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000100.wav,4.248,HALF AN HOUR LATER HIS SHOVEL HIT SOMETHING SOLID,sample-00,sample-000100,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000121.wav,2.328,WATCH OVER HER TONIGHT,sample-00,sample-000121,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000135.wav,7.296,LIKE CRICKETS AND LIKE EXPECTATIONS LIKE LIZARDS AND FOURLEAF CLOVERS,sample-00,sample-000135,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000175.wav,2.304,GET SOME WATER QUICKLY,sample-00,sample-000175,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000191.wav,1.944,DON'T ARGUE WITH ME HERE,sample-00,sample-000191,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000213.wav,3.024,HOW WAS THAT FOR A TIGHT SQUEEZE,sample-00,sample-000213,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000265.wav,8.304,ACCORDING TO THE PREDOMINANT NOTION IN THE VATICAN CONDOMS SHOULDN'T BE USED IN SPITE OF HIV,sample-00,sample-000265,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000270.wav,5.328,AND IT'S NOT LOVE TO SEE EVERYTHING FROM A DISTANCE LIKE YOU DO,sample-00,sample-000270,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000294.wav,3.336,THAT'S GOT NOTHING TO DO WITH IT,sample-00,sample-000294,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000341.wav,5.04,THE TURF AND GRAVEL AROUND IT SEEMED CHARRED AS IF BY A SUDDEN EXPLOSION,sample-00,sample-000341,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000350.wav,3.384,THERE IS NO WINE IN THIS COUNTRY THE YOUNG MAN SAID,sample-00,sample-000350,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000368.wav,5.208,THEY'RE ONLY MADE OF ROCK CRYSTAL AND THERE ARE MILLIONS OF ROCK CRYSTALS IN THE EARTH,sample-00,sample-000368,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000378.wav,3.72,THEN THE THING CAME UPON HIM IN A FLASH,sample-00,sample-000378,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000379.wav,2.208,I KNOW THAT GIRL,sample-00,sample-000379,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000389.wav,4.848,MY SEVEN YEAR RESUME GAP IS MARKED NOT DRUGS,sample-00,sample-000389,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000392.wav,4.464,IT WAS DROPPING OFF IN FLAKES AND RAINING DOWN ON THE SAND,sample-00,sample-000392,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000410.wav,1.944,DON'T TAKE ANY CHANCES,sample-00,sample-000410,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000414.wav,3.096,STRANGE IMAGES PASSED THROUGH MY MIND,sample-00,sample-000414,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000425.wav,7.44,A THIN CIRCLE OF BRIGHT METAL SHOWED BETWEEN THE TOP AND THE BODY OF THE CYLINDER,sample-00,sample-000425,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000437.wav,2.424,NOBODY'S TRYING TO STEAL FROM YOU,sample-00,sample-000437,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000451.wav,3.504,SHE MUST HAVE KNOWN ALEX PRETTY WELL,sample-00,sample-000451,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000479.wav,2.976,THE VIRUS SPREAD FASTER THAN WILDFIRE,sample-00,sample-000479,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000498.wav,4.152,AT THE FIRST GLANCE IT WAS REALLY NOT VERY EXCITING,sample-00,sample-000498,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000507.wav,2.904,IT WAS THE MOST DELICIOUS WINE HE HAD EVER TASTED,sample-00,sample-000507,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000524.wav,7.44,REMEMBER THAT WHEREVER YOUR HEART IS THERE YOU WILL FIND YOUR TREASURE,sample-00,sample-000524,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000556.wav,3.048,IT WON'T HURT YOU AND WE CAN MAKE THE CITY EDITION,sample-00,sample-000556,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000578.wav,3.216,ONLY US EXPLORERS CAN GET IT,sample-00,sample-000578,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000579.wav,5.784,JUST A MEMORY RIGHT NOW IT SIGNIFIED SHADE WATER AND A REFUGE FROM THE WAR,sample-00,sample-000579,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000645.wav,6.36,'M ALL ABOUT THOSE INVISIBLE COSMIC CONNECTIONS THAT TRANSCEND TIME AND DISTANCE,sample-00,sample-000645,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000651.wav,5.184,AS HE DID SO HE TALKED WITH THE MONK ABOUT THE TRIBAL WARS,sample-00,sample-000651,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000663.wav,5.064,MANY TELESCOPES WERE POINTED AT IT,sample-00,sample-000663,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000691.wav,5.28,IT SORT OF MAKES A FELLOW LOSE FAITH IN HIMSELF,sample-00,sample-000691,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000720.wav,2.256,THE LIBRARY IS OPEN TO EVERYONE,sample-00,sample-000720,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000751.wav,3.0,YOU WANNA TAKE THIS OUTSIDE,sample-00,sample-000751,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000766.wav,4.152,THE FOOTBALL JOCKS LAUGHED VICIOUSLY,sample-00,sample-000766,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000776.wav,3.816,THE TRIBAL CHIEFTAINS WILL APPRECIATE WHAT YOU DO,sample-00,sample-000776,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000795.wav,4.128,HE ASKED IT PLEASE NEVER TO STOP SPEAKING TO HIM,sample-00,sample-000795,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000798.wav,4.128,I REALLY DID IT QUITE BRILLIANTLY,sample-00,sample-000798,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000803.wav,4.44,THE THING ITSELF WAS ALMOST ENTIRELY BURIED IN SAND,sample-00,sample-000803,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000829.wav,3.384,BUT THE ALCHEMIST CONTINUED TO LOOK TO THE HORIZON,sample-00,sample-000829,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000867.wav,5.112,AND THE SAND AND GRAVEL HAD BEEN FLUNG VIOLENTLY IN EVERY DIRECTION,sample-00,sample-000867,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000882.wav,2.688,LOOK AT THOSE SHOULDERS,sample-00,sample-000882,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000895.wav,4.848,THERE ARE FOUR DIFFERENT SORTS OF FUEL AT THIS GAS STATION,sample-00,sample-000895,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000903.wav,3.864,THE CROWD SWAYED A LITTLE AS I ELBOWED MY WAY THROUGH,sample-00,sample-000903,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000960.wav,3.696,WERE THEY QUICK OR WERE THEY ENRAGED,sample-00,sample-000960,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000968.wav,1.704,WANT TO KNOW WHAT IT IS,sample-00,sample-000968,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000977.wav,6.144,AT THAT TIME IT WAS QUITE CLEAR IN MY OWN MIND THAT THE THING HAD COME FROM THE PLANET MARS,sample-00,sample-000977,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-001011.wav,2.928,MISTER KRISTEN HAS SOMETHING TO SAY TO US,sample-00,sample-001011,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-001043.wav,1.824,I CAN'T DO THAT,sample-00,sample-001043,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-001048.wav,3.504,HE WAS OLDER AND WAS CARRYING A SMALL BUCKET,sample-00,sample-001048,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-001049.wav,3.336,I'LL COVER THE METHOD I USE AND DESCRIBE SOME ALTERNATIVES,sample-00,sample-001049,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-001066.wav,3.744,MOST OF THEM WERE STARING QUIETLY AT THE BIG TABLE,sample-00,sample-001066,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-001077.wav,2.256,I FORGOT YOU WERE HERE,sample-00,sample-001077,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-001079.wav,7.68,IT MAY BE THE GASES OF THE FIRING THAT CAUSED THE MARTIANS INCONVENIENCE,sample-00,sample-001079,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-001092.wav,5.184,THE TWENTY MILLION DOLLAR PROJECT IS PROJECTED TO BE FINISHED IN EIGHT WEEKS,sample-00,sample-001092,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-001103.wav,1.848,YOU KNOW WHAT I MEAN,sample-00,sample-001103,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-001108.wav,1.224,GET YOUR GUNS OUT,sample-00,sample-001108,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-001188.wav,4.344,THEN SUDDENLY HE NOTICED IT WITH A START,sample-00,sample-001188,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-001260.wav,4.944,FROM WHERE I AM THE SUN SAID I CAN SEE THE SOUL OF THE WORLD,sample-00,sample-001260,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-001283.wav,5.904,THE BOY MUMBLED AN ANSWER THAT ALLOWED HIM TO AVOID RESPONDING TO HER QUESTION,sample-00,sample-001283,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-001318.wav,2.256,I'M PLAYING FOR KEEPS,sample-00,sample-001318,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-001325.wav,3.648,SOME STORMS ARE WORTH THE WRECKAGE,sample-00,sample-001325,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-001343.wav,1.824,WHAT'S THAT GOT TO DO WITH IT,sample-00,sample-001343,british,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-001346.wav,3.264,COULD I PLEASE SEE YOU A MINUTE,sample-00,sample-001346,british,dev.csv
